id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;visible;ordering
29;21;1;36;basic;1;;;30;6,7,9,10,11,12,18,19,20,21,23,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Trénink;;binarni-krizovka-trenink;;1;-1
30;21;1;36;basic;0;;29;19;6,7,9,10,11,12,18,19,20,21,23,29,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Logické výrazy;;binarni-krizovka-logicke;;1;1
31;23;1;26;basic;0;;;87;52,11,12,33,105,51;51;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","YSA9IDUKYiA9IDMKaWYgYSA8IDQ6CiAgICBiID0gYiArIDEKZWxzZToKICAgIGIgPSBiIC0gMQpwcmludChhLCBiKQo="]],[["text", "Co vypíše program?"],["python64","eCA9IDUKaWYgeCA8IDEwOgogICAgcHJpbnQoImZvbyIpCnByaW50KCJiYXIiKQo="]],[["text", "Co vypíše program?"],["python64","YSA9IDUKYiA9IDMKaWYgYSA8IDQ6CiAgICBiID0gYiArIDEKcHJpbnQoYSwgYikK"]]];rozhodovacka-podmineny-prikaz-1-uroven;;1;0
32;24;1;26;basic;0;;;88;10,106,9,107;;medalBased;1;10;;[[["text", "Co vypíše program?"],["python64","ZnJ1aXRzID0geyJhcHBsZSI6IDUsCiAgICAgICAgICAiYmFuYW5hIjogMTAsCiAgICAgICAgICAib3JhbmdlIjogMn0KCnByaW50KGZydWl0c1sicGVhciJdKQo="]],[["text", "Co vypíše program?"],["python64","ZnJ1aXRzID0geyJhcHBsZSI6IDUsCiAgICAgICAgICAiYmFuYW5hIjogMTAsCiAgICAgICAgICAib3JhbmdlIjogMn0KCnByaW50KGZydWl0cy5nZXQoInBlYXIiLCAwKSkK"]],[["text", "Co vypíše program?"],["python64","ZnJ1aXRzID0geyJhcHBsZSI6IDUsCiAgICAgICAgICAiYmFuYW5hIjogMTAsCiAgICAgICAgICAib3JhbmdlIjogMn0KCnByaW50KGZydWl0c1siYmFuYW5hIl0pCg=="]]];rozhodovacka-slovniky-1-uroven;;1;0
33;17;1;35;basic;1;;52;12;6,7,9,10,11,12,18,19,20,21,23,29,30,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Úpravy programů;;interaktivni-python-upravy-programu;;1;5
41;25;1;38;basic;0;;;;;;medalBased;1;0;Trénink;;zelvi-grafika-trenink;<xml id="toolbox" style="display: none">  <variables>    <variable type="">x</variable>    <variable type="">y</variable>  </variables>    <category name="Želva T0">        <block type="draw_move_forward_50"></block>                        <block type="draw_move_forward_100"></block>                        <block type="draw_turn_right_45"></block>        <block type="draw_turn_right_60"></block>        <block type="draw_turn_right_90"></block>        <block type="draw_turn_left_45"></block>        <block type="draw_turn_left_60"></block>        <block type="draw_turn_left_90"></block>    </category>    <category name="Želva T1">        <block type="draw_move_preset_distance"></block>        <block type="draw_turn_preset_angle"></block>                    </category>    <category name="Želva T2">                <block type="draw_move">          <value name="VALUE">            <block type="math_number">              <title name="NUM">30</title>            </block>          </value>        </block>        <block type="draw_turn">          <value name="VALUE">            <block type="math_number">              <title name="NUM">90</title>            </block>          </value>        </block>        <block type="draw_pen"></block>        <block type="draw_width"></block>        <block type="draw_colour"><value name="COLOUR"><block type="colour_picker"></block></value></block><block type="colour_picker"></block>        <block type="turtle_visibility"></block>    </category>    <category name="Cykly">      <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">10</field>          </block>        </value>      </block>      <block type="controls_whileUntil"></block>    </category><category name="Proměnné">  <block type="variables_set">    <field name="VAR" variabletype="">x</field>    <value name="VALUE">      <block type="math_number">        <field name="NUM">0</field>      </block>    </value>  </block>  <block type="math_change">    <field name="VAR" variabletype="">x</field>    <value name="DELTA">      <shadow type="math_number">        <field name="NUM">1</field>      </shadow>    </value>  </block>  <block type="variables_get">    <field name="VAR" variabletype="">x</field>  </block></category>  </xml>;0;0
42;25;1;38;basic;0;;43;44;4,28,43,55,56,58,62,64;;medalBased;1;4;Jednoduché kreslení;;zelvi-grafika-jednoduche;<xml id="toolbox" style="display: none">   <category name="Pohyb">     <block type="draw_move_preset_distance"></block>        <block type="draw_turn_preset_angle"></block> </category>   <category name="Opakování">     <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">5</field>          </block>        </value>      </block>      </category>  </xml>;1;2
43;25;1;38;basic;1;;;42;4,28,42,44,46,62,65;;medalBased;1;5;Základy;;zelvi-grafika-zaklady;<xml id="toolbox" style="display: none">    <block type="draw_move_forward_50"></block>        <block type="draw_move_forward_100"></block>        <block type="draw_turn_right_45"></block>        <block type="draw_turn_right_60"></block>        <block type="draw_turn_right_90"></block>        <block type="draw_turn_left_45"></block>        <block type="draw_turn_left_60"></block>        <block type="draw_turn_left_90"></block> </xml>;1;1
44;25;1;38;basic;0;;42;108;4,5,28,43,46,47,65,69;;medalBased;1;6;Kreslení;;zelvi-grafika-kresleni;<xml id="toolbox" style="display: none">     <category name="Pohyb">      <block type="draw_move">          <value name="VALUE">            <block type="math_number">              <title name="NUM">100</title>            </block>          </value>        </block>        <block type="draw_turn">          <value name="VALUE">            <block type="math_number">              <title name="NUM">90</title>            </block>          </value>        </block>     </category>    <category name="Pero">        <block type="draw_pen"></block>        <block type="draw_width">          <value name="WIDTH">            <block type="math_number">              <title name="NUM">2</title>            </block>          </value>        </block>        <block type="draw_colour"><value name="COLOUR"><block type="colour_picker"></block></value></block></category>    <category name="Opakování">  <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">4</field>          </block>        </value>      </block> </category></xml>;1;3
46;25;1;38;basic;0;;69;47;4,5,28,43,44,47,65,69;;medalBased;1;6;Vzory s opakováním II;;zelvi-grafika-vnorene-cykly;<xml id="toolbox" style="display: none">     <category name="Pohyb">      <block type="draw_move">          <value name="VALUE">            <block type="math_number">              <title name="NUM">100</title>            </block>          </value>        </block>        <block type="draw_turn">          <value name="VALUE">            <block type="math_number">              <title name="NUM">90</title>            </block>          </value>        </block>     </category>    <category name="Pero">        <block type="draw_pen"></block>        <block type="draw_width">          <value name="WIDTH">            <block type="math_number">              <title name="NUM">2</title>            </block>          </value>        </block>        <block type="draw_colour"><value name="COLOUR"><block type="colour_picker"></block></value></block></category>    <category name="Opakování">  <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">4</field>          </block>        </value>      </block> </category></xml>;1;6
47;25;1;38;basic;0;;46;49;5,44,46,53,65,69,76,108;;medalBased;1;7;Proměnné;;zelvi-grafika-promenne;<xml id="toolbox" style="display: none">   <variables>    <variable type="">x</variable>    <variable type="">y</variable>  </variables>    <category name="Pohyb">      <block type="draw_move">          <value name="VALUE">            <block type="math_number">              <title name="NUM">100</title>            </block>          </value>        </block>        <block type="draw_turn">          <value name="VALUE">            <block type="math_number">              <title name="NUM">90</title>            </block>          </value>        </block>     </category>    <category name="Pero">        <block type="draw_pen"></block>        <block type="draw_width">          <value name="WIDTH">            <block type="math_number">              <title name="NUM">2</title>            </block>          </value>        </block>        <block type="draw_colour"><value name="COLOUR"><block type="colour_picker"></block></value></block></category>    <category name="Opakování">  <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">4</field>          </block>        </value>      </block> </category><category name="Proměnné">  <block type="variables_set">    <field name="VAR" variabletype="">x</field>    <value name="VALUE">      <block type="math_number">        <field name="NUM">0</field>      </block>    </value>  </block>  <block type="math_change">    <field name="VAR" variabletype="">x</field>    <value name="DELTA">      <shadow type="math_number">        <field name="NUM">1</field>      </shadow>    </value>  </block>  <block type="variables_get">    <field name="VAR" variabletype="">x</field>  </block></category></xml>;1;7
48;26;1;39;basic;1;;;54;54,55,56,58,64;;medalBased;1;2;Skřítkova rozcvička;;sipkovana-rozcvicka;;1;1
